"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","experiment"
"667.9999998304993","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$40 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$55 after 62 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","26","46876","0.0-7.0-1.9","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","47879","0.0-7.0-0.10","fixation","",""
"405.0000000279397","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$11 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$30 after 7 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","28","48285","0.0-7.0-1.10","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","49288","0.0-7.0-0.11","fixation","",""
"452.0000000484288","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$67 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$75 after 119 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","30","49740","0.0-7.0-1.11","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","50745","0.0-7.0-0.12","fixation","",""
"393.9999998547137","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$34 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$35 after 186 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","32","51140","0.0-7.0-1.12","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","52141","0.0-7.0-0.13","fixation","",""
"445.9999999962747","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$27 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$50 after 21 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","34","52590","0.0-7.0-1.13","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","53595","0.0-7.0-0.14","fixation","",""
"424.000000115484","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$69 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$85 after 91 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","36","54020","0.0-7.0-1.14","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","55025","0.0-7.0-0.15","fixation","",""
"643.0000001564622","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$49 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$60 after 89 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","38","55669","0.0-7.0-1.15","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","56669","0.0-7.0-0.16","fixation","",""
"358.0000000074506","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$80 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$85 after 157 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","40","57029","0.0-7.0-1.16","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","58031","0.0-7.0-0.17","fixation","",""
"310.9999999869615","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$24 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$35 after 29 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","42","58343","0.0-7.0-1.17","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","59345","0.0-7.0-0.18","fixation","",""
"283.0000000540167","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$33 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$80 after 14 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","44","59629","0.0-7.0-1.18","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","60630","0.0-7.0-0.19","fixation","",""
"244.99999987892807","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$28 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$30 after 179 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","46","60876","0.0-7.0-1.19","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","61877","0.0-7.0-0.20","fixation","",""
"253.99999995715916","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$34 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$50 after 30 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","48","62132","0.0-7.0-1.20","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","63133","0.0-7.0-0.21","fixation","",""
"246.00000004284084","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$25 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$30 after 80 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","50","63380","0.0-7.0-1.21","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","64382","0.0-7.0-0.22","fixation","",""
"278.0000001657754","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$41 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$75 after 20 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","52","64661","0.0-7.0-1.22","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","65662","0.0-7.0-0.23","fixation","",""
"5902.000000001863","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$54 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$60 after 111 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","54","71565","0.0-7.0-1.23","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","72565","0.0-7.0-0.24","fixation","",""
"638.9999999664724","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$54 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$80 after 30 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","56","73206","0.0-7.0-1.24","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","74206","0.0-7.0-0.25","fixation","",""
"1619.0000001806766","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$22 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$25 after 136 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","58","75827","0.0-7.0-1.25","experiment",".","0"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","76827","0.0-7.0-0.26","fixation","",""
"672.0000000204891","<h1 style=""color:blue;""><i>Which would you prefer?</i></h1><br><p class=""bold"">$20 now...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp  (Press 1)</p><p style=""color:black;"">or</p><p class=""bold"">$55 after 7 days...&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp (Press 0)</p>","48","html-keyboard-response","60","77500","0.0-7.0-1.26","experiment",".","0"
"4023.9999999757856","<p"">Thank you.</p>","48","html-keyboard-response","61","81525","0.0-8.0","","",""
